{Instant food products} -> {hamburger meat} (conf: 0.380, supp: 0.003, lift: 11.421, conv: 1.559)
{Instant food products} -> {other vegetables} (conf: 0.342, supp: 0.003, lift: 1.766, conv: 1.225)
{Instant food products} -> {rolls/buns} (conf: 0.291, supp: 0.002, lift: 1.583, conv: 1.151)
{Instant food products} -> {root vegetables} (conf: 0.241, supp: 0.002, lift: 2.207, conv: 1.173)
{Instant food products} -> {soda} (conf: 0.241, supp: 0.002, lift: 1.379, conv: 1.087)
{Instant food products} -> {whole milk} (conf: 0.380, supp: 0.003, lift: 1.486, conv: 1.200)
{UHT-milk} -> {bottled water} (conf: 0.219, supp: 0.007, lift: 1.980, conv: 1.139)
{UHT-milk} -> {brown bread} (conf: 0.122, supp: 0.004, lift: 1.874, conv: 1.065)
{UHT-milk} -> {citrus fruit} (conf: 0.137, supp: 0.005, lift: 1.653, conv: 1.063)
{UHT-milk} -> {coffee} (conf: 0.128, supp: 0.004, lift: 2.199, conv: 1.080)
{UHT-milk} -> {domestic eggs} (conf: 0.122, supp: 0.004, lift: 1.916, conv: 1.066)
{UHT-milk} -> {fruit/vegetable juice} (conf: 0.119, supp: 0.004, lift: 1.640, conv: 1.052)
{UHT-milk} -> {margarine} (conf: 0.119, supp: 0.004, lift: 2.024, conv: 1.068)
{UHT-milk} -> {newspapers} (conf: 0.128, supp: 0.004, lift: 1.599, conv: 1.055)
{UHT-milk} -> {other vegetables} (conf: 0.243, supp: 0.008, lift: 1.257, conv: 1.066)
{UHT-milk} -> {pastry} (conf: 0.109, supp: 0.004, lift: 1.230, conv: 1.023)
{UHT-milk} -> {pip fruit} (conf: 0.112, supp: 0.004, lift: 1.487, conv: 1.041)
{UHT-milk} -> {rolls/buns} (conf: 0.191, supp: 0.006, lift: 1.041, conv: 1.009)
{UHT-milk} -> {root vegetables} (conf: 0.146, supp: 0.005, lift: 1.339, conv: 1.043)
{UHT-milk} -> {sausage} (conf: 0.103, supp: 0.003, lift: 1.100, conv: 1.010)
{UHT-milk} -> {shopping bags} (conf: 0.140, supp: 0.005, lift: 1.419, conv: 1.048)
{UHT-milk} -> {soda} (conf: 0.228, supp: 0.008, lift: 1.307, conv: 1.069)
{UHT-milk} -> {tropical fruit} (conf: 0.149, supp: 0.005, lift: 1.419, conv: 1.052)
{UHT-milk} -> {whole milk} (conf: 0.119, supp: 0.004, lift: 0.464, conv: 0.845)
{UHT-milk} -> {yogurt} (conf: 0.222, supp: 0.007, lift: 1.591, conv: 1.106)
{baking powder} -> {bottled water} (conf: 0.161, supp: 0.003, lift: 1.456, conv: 1.060)
{baking powder} -> {butter} (conf: 0.161, supp: 0.003, lift: 2.904, conv: 1.126)
{baking powder} -> {chocolate} (conf: 0.109, supp: 0.002, lift: 2.201, conv: 1.067)
{baking powder} -> {citrus fruit} (conf: 0.195, supp: 0.003, lift: 2.361, conv: 1.140)
{baking powder} -> {curd} (conf: 0.103, supp: 0.002, lift: 1.942, conv: 1.056)
{baking powder} -> {domestic eggs} (conf: 0.178, supp: 0.003, lift: 2.808, conv: 1.140)
{flour} -> {baking powder} (conf: 0.105, supp: 0.002, lift: 5.950, conv: 1.098)
{baking powder} -> {flour} (conf: 0.103, supp: 0.002, lift: 5.950, conv: 1.096)
{baking powder} -> {frozen vegetables} (conf: 0.138, supp: 0.002, lift: 2.868, conv: 1.104)
{baking powder} -> {fruit/vegetable juice} (conf: 0.126, supp: 0.002, lift: 1.749, conv: 1.062)
{baking powder} -> {long life bakery product} (conf: 0.109, supp: 0.002, lift: 2.918, conv: 1.081)
{baking powder} -> {margarine} (conf: 0.172, supp: 0.003, lift: 2.944, conv: 1.138)
{baking powder} -> {napkins} (conf: 0.103, supp: 0.002, lift: 1.976, conv: 1.057)
{baking powder} -> {newspapers} (conf: 0.103, supp: 0.002, lift: 1.296, conv: 1.026)
{baking powder} -> {other vegetables} (conf: 0.414, supp: 0.007, lift: 2.139, conv: 1.376)
{baking powder} -> {pip fruit} (conf: 0.144, supp: 0.003, lift: 1.899, conv: 1.079)
{baking powder} -> {rolls/buns} (conf: 0.201, supp: 0.004, lift: 1.094, conv: 1.022)
{baking powder} -> {root vegetables} (conf: 0.201, supp: 0.004, lift: 1.845, conv: 1.115)
{baking powder} -> {sausage} (conf: 0.138, supp: 0.002, lift: 1.468, conv: 1.051)
{baking powder} -> {soda} (conf: 0.132, supp: 0.002, lift: 0.758, conv: 0.951)
{baking powder} -> {sugar} (conf: 0.184, supp: 0.003, lift: 5.432, conv: 1.184)
{baking powder} -> {tropical fruit} (conf: 0.213, supp: 0.004, lift: 2.027, conv: 1.137)
{baking powder} -> {whipped/sour cream} (conf: 0.259, supp: 0.005, lift: 3.608, conv: 1.252)
{baking powder} -> {whole milk} (conf: 0.523, supp: 0.009, lift: 2.047, conv: 1.561)
{baking powder} -> {yogurt} (conf: 0.259, supp: 0.005, lift: 1.854, conv: 1.161)
{berries} -> {beef} (conf: 0.135, supp: 0.004, lift: 2.565, conv: 1.095)
{beef} -> {bottled water} (conf: 0.118, supp: 0.006, lift: 1.070, conv: 1.009)
{butter} -> {beef} (conf: 0.105, supp: 0.006, lift: 1.993, conv: 1.058)
{beef} -> {butter} (conf: 0.110, supp: 0.006, lift: 1.993, conv: 1.062)
{cat food} -> {beef} (conf: 0.148, supp: 0.003, lift: 2.830, conv: 1.113)
{chicken} -> {beef} (conf: 0.111, supp: 0.005, lift: 2.123, conv: 1.066)
{citrus fruit} -> {beef} (conf: 0.102, supp: 0.008, lift: 1.943, conv: 1.055)
{beef} -> {citrus fruit} (conf: 0.161, supp: 0.008, lift: 1.943, conv: 1.093)
{detergent} -> {beef} (conf: 0.101, supp: 0.002, lift: 1.916, conv: 1.053)
{beef} -> {domestic eggs} (conf: 0.114, supp: 0.006, lift: 1.802, conv: 1.057)
{flour} -> {beef} (conf: 0.164, supp: 0.003, lift: 3.121, conv: 1.133)
{grapes} -> {beef} (conf: 0.114, supp: 0.003, lift: 2.166, conv: 1.069)
{hamburger meat} -> {beef} (conf: 0.113, supp: 0.004, lift: 2.157, conv: 1.068)
{herbs} -> {beef} (conf: 0.175, supp: 0.003, lift: 3.336, conv: 1.149)
{margarine} -> {beef} (conf: 0.106, supp: 0.006, lift: 2.019, conv: 1.060)
{beef} -> {margarine} (conf: 0.118, supp: 0.006, lift: 2.019, conv: 1.068)
{beef} -> {newspapers} (conf: 0.122, supp: 0.006, lift: 1.530, conv: 1.048)
{oil} -> {beef} (conf: 0.112, supp: 0.003, lift: 2.141, conv: 1.067)
{onions} -> {beef} (conf: 0.102, supp: 0.003, lift: 1.937, conv: 1.055)
{other vegetables} -> {beef} (conf: 0.102, supp: 0.020, lift: 1.943, conv: 1.055)
{beef} -> {other vegetables} (conf: 0.376, supp: 0.020, lift: 1.943, conv: 1.292)
{pasta} -> {beef} (conf: 0.115, supp: 0.002, lift: 2.189, conv: 1.070)
{beef} -> {pastry} (conf: 0.120, supp: 0.006, lift: 1.351, conv: 1.035)
{pickled vegetables} -> {beef} (conf: 0.131, supp: 0.002, lift: 2.491, conv: 1.090)
{pork} -> {beef} (conf: 0.132, supp: 0.008, lift: 2.521, conv: 1.092)
{beef} -> {pork} (conf: 0.145, supp: 0.008, lift: 2.521, conv: 1.103)
{pot plants} -> {beef} (conf: 0.100, supp: 0.002, lift: 1.906, conv: 1.053)
{beef} -> {rolls/buns} (conf: 0.260, supp: 0.014, lift: 1.412, conv: 1.102)
{root vegetables} -> {beef} (conf: 0.160, supp: 0.017, lift: 3.040, conv: 1.127)
{beef} -> {root vegetables} (conf: 0.331, supp: 0.017, lift: 3.040, conv: 1.333)
{beef} -> {sausage} (conf: 0.107, supp: 0.006, lift: 1.135, conv: 1.014)
{beef} -> {soda} (conf: 0.155, supp: 0.008, lift: 0.889, conv: 0.977)
{soft cheese} -> {beef} (conf: 0.143, supp: 0.002, lift: 2.723, conv: 1.105)
{beef} -> {tropical fruit} (conf: 0.145, supp: 0.008, lift: 1.385, conv: 1.047)
{beef} -> {whipped/sour cream} (conf: 0.128, supp: 0.007, lift: 1.784, conv: 1.064)
{beef} -> {whole milk} (conf: 0.405, supp: 0.021, lift: 1.585, conv: 1.251)
{beef} -> {yogurt} (conf: 0.223, supp: 0.012, lift: 1.598, conv: 1.107)
{berries} -> {bottled water} (conf: 0.122, supp: 0.004, lift: 1.107, conv: 1.013)
{berries} -> {butter} (conf: 0.113, supp: 0.004, lift: 2.042, conv: 1.065)
{berries} -> {citrus fruit} (conf: 0.162, supp: 0.005, lift: 1.958, conv: 1.095)
{berries} -> {domestic eggs} (conf: 0.116, supp: 0.004, lift: 1.832, conv: 1.060)
{berries} -> {fruit/vegetable juice} (conf: 0.110, supp: 0.004, lift: 1.523, conv: 1.042)
{grapes} -> {berries} (conf: 0.118, supp: 0.003, lift: 3.554, conv: 1.096)
